timestamp,title,subtitle,value,currency,transaction_type,domain
6/1/2025,Interest,TR cash interest,10.8,EUR,Cash Interests,
5/29/2025,Global Water USD (Dist),Cash dividend,2.01,EUR,Stocks,
5/23/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
5/16/2025,Global Water USD (Dist),Saving executed,-100,EUR,Stocks,
5/16/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
5/16/2025,Apple,Saving executed,-50,EUR,Stocks,
5/15/2025,Apple,Cash dividend,0.22,EUR,Stocks,
5/9/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
5/5/2025,Erik Pillon,,500,EUR,Cash Deposit,
5/2/2025,Nasdaq,Saving executed,-50,EUR,Stocks,
5/2/2025,FTSE All-World USD (Acc),Saving executed,-500,EUR,Stocks,
5/2/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
5/2/2025,Alphabet (C),Saving executed,-50,EUR,Stocks,
5/2/2025,Apple,Saving executed,-50,EUR,Stocks,
5/1/2025,Interest,TR cash interest,10.4,EUR,Cash Interests,
4/23/2025,Jan-29,Buy Order,-913.11,EUR,Bond,
4/22/2025,Erik Pillon,,420,EUR,Cash Deposit,
4/16/2025,Global Water USD (Dist),Saving executed,-100,EUR,Stocks,
4/11/2025,Erik Pillon,,300,EUR,Cash Deposit,
4/4/2025,Nasdaq,Buy Order,-1,,Fees,
4/4/2025,Erik Pillon,,500,EUR,Cash Deposit,
4/2/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
4/1/2025,Interest,TR cash interest,12.05,EUR,Cash Interests,
3/17/2025,Global Water USD (Dist),Saving executed,-100,EUR,Stocks,
3/13/2025,Sep-43,Buy Order,-2,EUR,Bond,
3/6/2025,Jul-30,Buy Order,-501.02,EUR,Bond,
3/6/2025,Dec-28,Buy Order,-501,EUR,Bond,
3/6/2025,Euro Overnight Rate Swap EUR (Dist),Cash dividend,7.42,EUR,Stocks,
3/4/2025,Erik Pillon,,500,EUR,Cash Deposit,
3/3/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
3/1/2025,Interest,TR cash interest,16.91,EUR,Cash Interests,
2/17/2025,Global Water USD (Dist),Saving executed,-100,EUR,Stocks,
2/13/2025,Apple,Cash dividend,0.17,EUR,Stocks,
2/4/2025,Erik Pillon,,500,EUR,Cash Deposit,
2/3/2025,FTSE All-World USD (Acc),Saving executed,-500,EUR,Stocks,
2/3/2025,Core S&P 500 USD (Acc),Saving executed,-500,EUR,Stocks,
2/1/2025,Interest,Bonus interest,19.83,EUR,Cash Interests,
2/1/2025,Interest,TR cash interest,19.83,EUR,Cash Interests,
1/29/2025,Euro Overnight Rate Swap EUR (Dist),Buy Order,-501,EUR,Stocks,
1/29/2025,Euro Overnight Rate Swap EUR (Dist),Buy Order,-501,EUR,Stocks,
1/6/2025,Apple,Buy Order,-201,EUR,Stocks,
1/6/2025,Core MSCI World USD (Acc),Buy Order,-201.01,EUR,Stocks,
1/6/2025,Core S&P 500 USD (Acc),Buy Order,-201,EUR,Stocks,
